nome;ID_SAP;lat;lon;safra;estimativa_financiamento;estimativa_subsidio;uf;regiao;cidade;bairro;preco_cheio;avaliacao;financiamento;subsidio;sub_max_f2;fipezap;vso_medio;vso_avm;renda_bruta_media;renda_media;Bojo;Cauda;dens_demog;rma1;rma2;rmb1;rmb2;rmc1;rmc2;rmd;rme;pcta1;pcta2;pctb1;pctb2;pctc1;pctc2;pctd;pcte;pct_pead;pct_algd;estrategia;ufBA;ufCE;ufGO;ufPE;ufPR;ufRJ;ufRS;ufSP;cidSP;rg1;rg2;rg3;rg4;rg5;capital;aglomerado11;aglomerado21;aglomerado22;aglomerado23;aglomerado_regiao11;aglomerado_regiao12;aglomerado_regiao13;Saúde_ate_3km_influente;Saúde_ate_5km_influente;parada de ônibus_ate_5km_influente;parada de ônibus_maior_5km_influente
esmeralda ville;QY50;;;treino;88625,51957;21896,09121;RJ;1;RIO DE JANEIRO;Guaratiba;133587,2734;148458,1281;95037,79665;17693,15764;29000;3270;32;33;2241,144286;4206,257483;;;3422,981472;0;25543,18203;12092,06727;6489,473509;4110,736732;2154,286621;1254,845317;795,5079453;0;0,007856095;0,082039934;0,157430557;0,299250504;0,280622361;0,043407706;0,129179094;0,402336932;0,125818508;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0
jardim dos lirios;O970;;;treino;81174,22184;28619,39625;RJ;1;RIO DE JANEIRO;Paciência;120236,4732;147975,5501;75181,57614;29928,84115;29000;2757;31;33;1708,799951;3013,720646;1636,333088;3218,6696;3487,854221;0;0;11429,25757;6428,788112;4050,458262;2142,972587;1254,874148;740,7547659;0;0;0,025106058;0,106398978;0,274480979;0,328077989;0,060339269;0,205474856;0,345174338;0,099023098;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
solar do oeste;SA00;-22,88319;-43,59376;treino;85399,70254;25659,25912;RJ;1;RIO DE JANEIRO;Campo Grande;126276,341;146586,2069;77425,4023;30727,12069;29000;3671;19;33;1728,606092;3783,740985;1711,404471;3656,840976;10815,18219;34786,94413;26102,05568;12104,1247;6416,209306;4038,768855;2144,743776;1254,840625;716,1859563;3,39E-05;0,005763707;0,059405931;0,141793703;0,298674768;0,292529059;0,046874469;0,154686752;0,872477037;0,2363709;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0
jardim dos ipês;PN70;;;treino;80153,93685;29496,61388;RJ;1;RIO DE JANEIRO;Santa Cruz;118330,7304;145268,3486;77112,7331;27847,44495;29000;2846,642857;32;33;1763,264312;3248,194262;;;3721,060822;0;0;11709,03028;6428,263398;4049,108314;2175,374339;1254,859314;801,4637055;0;0;0,031866939;0,12610767;0,281447873;0,327354049;0,056814229;0,17640924;0,518411402;0,10153465;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
reserva do parque;RW00;-22,94565;-43,58207;treino;87877,65002;19422,62353;RJ;1;RIO DE JANEIRO;Guaratiba;125418,3006;148074,0741;81512,8287;27356,55185;29000;3270;44;33;1829,067593;4048,948738;1710,123344;3846,043415;3359,867088;0;25590,97704;12104,18401;6481,869235;4113,751151;2153,577988;1254,845145;790,8292694;0;0,00706063;0,072490453;0,150289143;0,297992251;0,290812424;0,045819883;0,13532366;0,379214928;0,122542645;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0
rosa dos ventos;RN60;-22,91789;-43,54843;treino;87516,06979;26973,30265;RJ;1;RIO DE JANEIRO;Campo Grande;126178,9848;149556,701;84724,39433;25022,43528;29000;3670,714286;28;33;2016,64799;4621,851593;1730,486873;3753,74;3046,455529;0;24928,66427;12020,13588;6561,171966;4096,763864;2170,476057;1254,841218;812,2871102;0;0,008781617;0,108292224;0,17533256;0,317297137;0,233351326;0,038541762;0,118338184;0,58991623;0,141061234;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0
mauricio de nassau;QV50;;;treino;83220,80616;16754,93625;PE;5;JABOATÃO DOS GUARARAPES;Bulhões;115074,7844;128490,9091;80783,24042;17137,51364;21090;0;27;32;1925,9467;2661,743448;1659,380766;3679,16725;3477,714142;0;0;11247,48527;6755,472196;4163,010431;2328,68544;1254,892349;952,4832451;0;0;0,01286899;0,080922683;0,194503482;0,328532394;0,101170138;0,282002313;0,346278558;0,163726704;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
engenho camaras;QC60;;;treino;82344,83114;17037,36459;PE;5;CAMARAGIBE;Alberto Maia;114812,2075;128759,4299;85475,43625;13808,01487;21090;3199,6;28;31;2026,869145;2538,830412;;;3434,50615;0;26531,45986;11746,90495;6686,741708;4163,633369;2328,802417;1254,962572;953,4420496;0;4,27E-05;0,011900729;0,071631338;0,181156016;0,319238186;0,108768502;0,298614106;0,328251643;0,131185261;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
arte ville;RW40;-22,88243;-43,33630;treino;115722,4802;9940,684735;RJ;1;RIO DE JANEIRO;Cascadura;170470,2515;184977,9006;131497,4766;5518,748619;29000;3934;27;31;3593,565414;4962,434391;2220,807973;3863,591226;11591,49247;0;26113,39103;12227,6621;6548,809475;4094,843399;2159,869967;1254,860188;774,6673577;0;0,01465539;0,116595519;0,197964472;0,30156997;0,231223424;0,034191688;0,103799535;0,535610803;0,209340716;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1
flora de jacarepagua;QU50;;;treino;102018,8908;18871,33313;RJ;1;RIO DE JANEIRO;Curicida;144915,4554;157095,7854;99421,29195;20590,2318;29000;4912;33;31;2099,584713;7863,6713;1904,171279;3683,834964;7744,03673;209667,05;26836,22028;12393,6036;6558,869278;4087,230613;2194,631265;1254,860593;713,2804896;0,008458107;0,039882883;0,17022811;0,195424116;0,265084739;0,202255751;0,030460248;0,088206046;0,622427481;0,177765631;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1
